index,Date,Close,Volume,Open,High,Low,SMA_10,SMA_50,EMA_10,EMA_50,RSI,MACD
49,2020-03-11,29.85,1195030.0,30.3,30.75,29.3,32.019999999999996,34.762,31.682997430512955,34.28467083987219,17.045454545454575,-1.2477658956601054
50,2020-03-12,28.0,1147630.0,28.6,29.0,27.85,31.359999999999996,34.583,31.013361534056052,34.03821315987721,15.000000000000014,-1.4717298375223038
51,2020-03-13,28.2,1340020.0,26.25,28.7,26.25,30.770000000000003,34.417,30.501841255136767,33.80926362419575,19.20903954802263,-1.6144738963884393
52,2020-03-16,28.05,892480.0,27.7,28.5,27.7,30.329999999999995,34.248999999999995,30.056051936020992,33.583410148737094,13.095238095238102,-1.719877658789109
53,2020-03-17,29.9,1234080.0,29.9,30.0,27.7,30.080000000000002,34.114000000000004,30.027678856744448,33.43896269192388,29.207920792079193,-1.6352808611396163
54,2020-03-18,30.3,567680.0,31.0,31.0,30.0,29.870000000000005,34.006,30.077191791881816,33.31586611577,28.500000000000014,-1.5184568075835756
55,2020-03-19,29.8,568630.0,30.0,30.15,29.5,29.629999999999995,33.888,30.026793284266937,33.17798901319079,28.500000000000014,-1.4495096794974067
56,2020-03-20,29.8,409020.0,29.8,30.0,29.55,29.409999999999997,33.77,29.985558141672946,33.04551885581076,34.1317365269461,-1.378972645475507
57,2020-03-23,27.75,1248330.0,29.0,29.05,27.75,29.195,33.61,29.579093025005136,32.83785144970054,27.536231884057983,-1.4715265630312757
58,2020-03-24,28.2,463230.0,28.4,28.6,27.7,28.984999999999996,33.458,29.328348838640565,32.6559749222613,30.555555555555557,-1.4913733467227637
59,2020-03-25,29.2,358100.0,28.8,29.5,28.45,28.920000000000005,33.330999999999996,29.30501268616046,32.52044649393733,37.06896551724137,-1.4101550336978903
60,2020-03-26,28.35,336770.0,28.6,29.1,28.35,28.955000000000002,33.17,29.13137401594947,32.35689957260645,35.102040816326536,-1.3982585772402523
61,2020-03-27,28.0,392970.0,28.3,28.35,27.95,28.934999999999995,33.0,28.925669649413198,32.186040765837575,40.95238095238096,-1.4009236489359438
62,2020-03-30,27.4,597290.0,27.2,27.95,26.5,28.870000000000005,32.812999999999995,28.648275167701705,31.998352892667473,36.44859813084111,-1.434909974065775
63,2020-03-31,27.3,509950.0,27.4,28.2,26.1,28.609999999999996,32.613,28.403134228119576,31.81410375962169,37.681159420289845,-1.4531623943348393
64,2020-04-01,28.3,365330.0,27.8,28.45,27.5,28.410000000000004,32.439,28.38438255027965,31.67629576904829,51.57894736842106,-1.3711303886272965
65,2020-04-02,28.3,365330.0,27.8,28.45,27.5,28.26,32.265,28.36904026841062,31.54389201339934,50.537634408602166,-1.2912348811512757
66,2020-04-03,28.85,397310.0,28.65,29.1,28.55,28.165,32.102,28.456487492335963,31.438249189344464,54.12371134020619,-1.1700491145401308
67,2020-04-06,30.2,572640.0,29.3,30.25,29.1,28.409999999999997,31.965999999999998,28.773489766456695,31.389690397605467,51.63043478260871,-0.9540768003628521
68,2020-04-07,30.0,467970.0,30.45,30.45,29.1,28.589999999999996,31.826,28.99649162710093,31.335192734954273,48.33333333333333,-0.7899494681685404
69,2020-04-08,29.8,326710.0,29.15,29.95,29.1,28.65,31.682,29.14258405853712,31.2749890982894,50.0,-0.6683118208007031
70,2020-04-09,29.85,651200.0,29.85,30.4,29.75,28.8,31.563000000000002,29.271205138803097,31.219107172866288,50.285714285714285,-0.5614069766145029
71,2020-04-10,30.35,1022970.0,29.85,31.1,29.8,29.034999999999997,31.491999999999997,29.467349659020716,31.185024538636238,68.05555555555557,-0.43136577986902225
72,2020-04-13,30.4,586150.0,30.35,30.9,29.9,29.335,31.43,29.636922448289674,31.154239262611288,66.1764705882353,-0.3205771980328862
73,2020-04-14,30.45,589070.0,30.4,30.6,29.9,29.65,31.371,29.784754730418822,31.126622036626532,60.683760683760696,-0.2261351216879639
74,2020-04-15,31.0,1219270.0,30.5,31.35,30.45,29.919999999999998,31.325,30.005708415797216,31.121656466562747,73.87387387387388,-0.10569035963210993
75,2020-04-16,30.8,406410.0,30.75,31.0,30.65,30.169999999999998,31.261000000000003,30.150125067470448,31.109042487481855,75.92592592592595,-0.02607477272644232
76,2020-04-17,31.0,617040.0,30.8,31.4,30.8,30.385,31.203000000000003,30.30464778247582,31.104766311502175,86.00000000000007,0.05255367596291549
77,2020-04-20,30.85,384660.0,31.0,31.3,30.65,30.45,31.149,30.403802731116578,31.094775475756993,85.1485148514852,0.1015924471473113
78,2020-04-21,29.3,1202790.0,30.6,30.8,29.3,30.380000000000003,31.05,30.203111325459016,31.024392123766525,58.92857142857144,0.015208664489524182
79,2020-04-22,29.45,752290.0,29.0,29.95,28.9,30.345,30.944000000000003,30.066181993557375,30.962651256167838,60.0,-0.04067844345591354
80,2020-04-23,29.5,811490.0,30.0,30.0,29.5,30.309999999999995,30.838,29.963239812910576,30.905292383376942,56.19047619047619,-0.08001246314586297
81,2020-04-24,30.6,914120.0,29.4,30.65,29.4,30.335,30.747,30.07901439238138,30.893320133048434,54.00000000000003,-0.02216860434857182
82,2020-04-27,30.5,446050.0,30.85,31.1,30.3,30.345,30.656999999999996,30.15555723013022,30.877895814105358,55.102040816326536,0.015426083932478463
83,2020-04-28,30.35,357440.0,30.5,30.5,29.95,30.335,30.562,30.190910461015633,30.857194017473777,55.67010309278351,0.03273900399389973
84,2020-04-29,30.0,547650.0,30.0,30.45,30.0,30.235000000000003,30.459,30.1561994681037,30.823578565808138,51.45631067961164,0.018009935620440842
85,2020-04-30,30.0,547650.0,30.0,30.45,30.0,30.155,30.346,30.127799564812115,30.791281367148994,46.23655913978493,0.006264825805107677
